GEN,UnitOnT0State,PowerGeneratedT0
NYISO_Flynn_B80,-89,0.0
NYISO_Rensselaer_B42,-97,0.0
NYISO_Selkirk-II_B42,-97,0.0
NYISO_Greenport_GT1_B80,96,21.0
NYISO_Far_Rockaway_GT2_B79,96,23.5
NYISO_KIAC_JFK_GT1_B82,13,65.0
NYISO_KIAC_JFK_GT2_B82,14,71.0
NYISO_Freeport_CT_2_B79,96,26.0
NYISO_Bethpage_B79,14,61.0
NYISO_Castleton_Energy_Center_B42,-97,0.0
NYISO_Independence_B50,38,1218.0
NYISO_Indeck-Olean_B61,-97,0.0
NYISO_Beaver_Falls_B47,20,98.0
NYISO_Syracuse_B51,16,102.0
NYISO_Batavia_B62,-97,0.0
NYISO_Fortistar_-_N.Tonawanda_B57,-97,0.0
NYISO_Carr_St.-E._Syr_B51,-97,0.0
NYISO_Astoria_2_B82,-97,0.0
NYISO_Kent_B82,96,28.5
NYISO_Pouch_B82,96,26.0
NYISO_Gowanus_5_B82,96,25.25
NYISO_Gowanus_6_B82,96,24.5
NYISO_Hellgate_1_B82,96,30.0
NYISO_Hellgate_2_B82,96,29.5
NYISO_Harlem_River_1_B82,96,24.25
NYISO_Harlem_River_2_B82,96,30.25
NYISO_Vernon_Blvd_2_B82,96,18.5
NYISO_Vernon_Blvd_3_B82,96,28.5
NYISO_Brentwood_B80,96,32.0
NYISO_Port_Jefferson_GT_02_B80,96,26.2
NYISO_Port_Jefferson_GT_03_B80,96,49.0
NYISO_Far_Rockaway_GT1_B79,96,36.0
NYISO_Pilgrim_GT1_B80,96,13.7
NYISO_Pilgrim_GT2_B80,96,26.58
NYISO_Glenwood_GT_04_B79,62,37.0
NYISO_Glenwood_GT_05_B79,96,38.0
NYISO_East_River_1_B82,13,223.0
NYISO_East_River_2_B82,13,227.0
NYISO_Pinelawn_Power_1_B79,93,81.0
NYISO_Bethpage_3_B79,13,83.0
NYISO_Astoria_CC_1_B82,93,318.0
NYISO_Astoria_CC_2_B82,93,320.0
NYISO_Bethlehem_Energy_Center_B42,-97,0.0
NYISO_Astoria_East_Energy_-_CC1_B82,93,313.0
NYISO_Bethpage_GT4_B79,96,31.5
NYISO_Caithness_CC_1_B80,14,373.0
NYISO_EMPIRE_CC_1_B42,11,327.0
NYISO_EMPIRE_CC_2_B42,10,327.0
NYISO_Astoria_Energy_2_-_CC3_B82,14,313.0
NYISO_Astoria_Energy_2_-_CC4_B82,38,313.0
NYISO_Nassau_Energy_Corporation_B79,8,53.0
NYISO_CPV_VALLEY___CC1_B77,13,361.0
NYISO_CPV_VALLEY___CC2_B77,13,362.0
NYISO_Jamestown_7_B60,-92,0.0
NYISO_Indeck-Corinth_B42,-97,0.0
NYISO_Stony_Brook___(BTM:NG)_B80,6,46.0
NYISO_Ravenswood_CC_04_B82,14,286.0
NYISO_Astoria_East_Energy_-_CC2_B82,93,313.0
NYISO_Shoemaker_GT_B77,-91,0.0
NYISO_Freeport_CT_1_B79,96,50.0
NYISO_Selkirk-I_B42,24,143.0
NYISO_Carthage_Energy_B47,86,61.0
NYISO_Massena_B48,68,55.0
NYISO_Astoria_GT_2-1_B82,96,0.0
NYISO_Astoria_GT_2-2_B82,96,0.0
NYISO_Astoria_GT_2-3_B82,96,0.0
NYISO_Astoria_GT_2-4_B82,-48,0.0
NYISO_Astoria_GT_3-1_B82,96,0.0
NYISO_Astoria_GT_3-2_B82,96,0.0
NYISO_Astoria_GT_3-3_B82,96,0.0
NYISO_Astoria_GT_3-4_B82,-91,0.0
NYISO_Astoria_GT_4-1_B82,-48,0.0
NYISO_Astoria_GT_4-2_B82,-48,0.0
NYISO_Astoria_GT_4-3_B82,96,0.0
NYISO_Astoria_GT_4-4_B82,-91,0.0
NYISO_Shoreham_GT3_B80,-82,0.0
NYISO_Shoreham_GT4_B80,96,0.0
NYISO_59_St.__GT_1_B82,-81,0.0
NYISO_74_St.__GT_1_B82,-82,0.0
NYISO_74_St.__GT_2_B82,-82,0.0
NYISO_Allied_Frozen_Storage_B55,-91,0.0
NYISO_Arthur_Kill_Cogen_B82,96,11.1
NYISO_Arthur_Kill_GT_1_B82,96,20.0
NYISO_Astoria_GT_01_B82,96,16.0
NYISO_Barrett_09_B79,96,41.8
NYISO_Barrett_10_B79,96,41.8
NYISO_Barrett_11_B79,96,41.8
NYISO_Barrett_12_B79,96,41.8
NYISO_Binghamton_(RET_-_1/9/18)_B71,91,47.7
NYISO_Burrstone_Engy_Center_LLC_LU_B45,-91,0.0
NYISO_Burrstone_Engy_Center_LLC_U_B45,-91,0.0
NYISO_Charles_P_Keller_09_B79,-91,0.0
NYISO_Charles_P_Keller_10_B79,-91,0.0
NYISO_Charles_P_Keller_11_B79,-91,0.0
NYISO_Charles_P_Keller_14_B79,-91,0.0
NYISO_Coxsackie_GT_B39,-82,0.0
NYISO_East_Hampton_2_B80,-91,0.0
NYISO_East_Hampton_3_B80,-91,0.0
NYISO_East_Hampton_4_B80,-91,0.0
NYISO_East_Hampton_GT_01_B80,-91,0.0
NYISO_Freeport_1-4_B79,-91,0.0
NYISO_Freeport_2-3_B79,-82,0.0
NYISO_General_Mills_Inc_B57,96,3.8
NYISO_Gowanus_1-1_B82,96,0.0
NYISO_Gowanus_1-2_B82,96,0.0
NYISO_Gowanus_1-3_B82,96,0.0
NYISO_Gowanus_1-4_B82,96,0.0
NYISO_Gowanus_1-5_B82,96,0.0
NYISO_Gowanus_1-6_B82,96,0.0
NYISO_Gowanus_1-7_B82,96,0.0
NYISO_Gowanus_2-1_B82,96,0.0
NYISO_Gowanus_2-2_B82,96,0.0
NYISO_Gowanus_2-3_B82,96,0.0
NYISO_Gowanus_2-4_B82,96,0.0
NYISO_Gowanus_2-5_B82,96,0.0
NYISO_Gowanus_2-6_B82,96,0.0
NYISO_Gowanus_2-7_B82,96,0.0
NYISO_Gowanus_2-8_B82,96,0.0
NYISO_Gowanus_3-1_B82,96,0.0
NYISO_Gowanus_3-2_B82,96,0.0
NYISO_Gowanus_3-3_B82,96,0.0
NYISO_Gowanus_3-4_B82,96,0.0
NYISO_Gowanus_3-5_B82,96,0.0
NYISO_Gowanus_3-6_B82,96,0.0
NYISO_Gowanus_3-7_B82,96,0.0
NYISO_Gowanus_3-8_B82,96,0.0
NYISO_Gowanus_4-1_B82,96,0.0
NYISO_Gowanus_4-2_B82,96,0.0
NYISO_Gowanus_4-3_B82,96,0.0
NYISO_Gowanus_4-4_B82,96,0.0
NYISO_Gowanus_4-5_B82,96,0.0
NYISO_Gowanus_4-6_B82,96,0.0
NYISO_Gowanus_4-8_B82,96,0.0
NYISO_Hudson_Ave_3_B82,96,0.0
NYISO_Hudson_Ave_4_B82,96,0.0
NYISO_Hudson_Ave_5_B82,96,0.0
NYISO_Jamestown_5_B60,-97,0.0
NYISO_Jamestown_6_B60,-97,0.0
NYISO_Narrows_1-1_B82,96,0.0
NYISO_Narrows_1-2_B82,96,0.0
NYISO_Narrows_1-3_B82,96,0.0
NYISO_Narrows_1-4_B82,96,0.0
NYISO_Narrows_1-5_B82,96,0.0
NYISO_Narrows_1-6_B82,96,0.0
NYISO_Narrows_1-7_B82,96,0.0
NYISO_Narrows_1-8_B82,96,0.0
NYISO_Narrows_2-1_B82,96,0.0
NYISO_Narrows_2-2_B82,96,0.0
NYISO_Narrows_2-3_B82,96,0.0
NYISO_Narrows_2-4_B82,96,0.0
NYISO_Narrows_2-5_B82,96,0.0
NYISO_Narrows_2-6_B82,96,0.0
NYISO_Narrows_2-7_B82,96,0.0
NYISO_Narrows_2-8_B82,96,0.0
NYISO_Northport_GT_B80,96,0.0
NYISO_Ravenswood_01_B82,96,18.6
NYISO_Ravenswood_10_B82,-91,0.0
NYISO_Ravenswood_11_B82,-91,0.0
NYISO_S_Hampton_1_B80,96,0.0
NYISO_Shoreham_1_B80,96,0.0
NYISO_Shoreham_2_B80,-91,0.0
NYISO_South_Cairo_B39,-82,0.0
NYISO_Southold_1_B80,96,0.0
NYISO_St._Elizabeth_Medical_Center_B45,-91,0.0
NYISO_FitzPatrick_B50,1095,854.5
NYISO_Nine_Mile_Point_1_B50,1095,629.0
NYISO_Nine_Mile_Point_2_B50,1095,1299.0
NYISO_Indian_Point_2_B74,1095,1025.9
NYISO_Indian_Point_3_B74,1095,1039.9
NYISO_Ginna_B53,1095,581.7
NYISO_Niagara_B55,1095,2460.0
NYISO_St._Lawrence_B48,1095,856.0
NYISO_PJM_import_B75,1095,1351.5
NYISO_PJM_import_B81,1095,874.5
NYISO_PJM_import_B66,1095,424.0
NYISO_HQ_import_B48,1095,845.0
NYISO_HQ_import_B54,1095,845.0
NYISO_NE_import_B37,1095,189.0
NYISO_NE_import_B73,1095,111.0
NYISO_IESO_import_B54,1095,1148.1
NYISO_IESO_import_B48,86,141.9
